id,word,translation,gender
1988,heir,наследник,"masculine, наследница"
1989,ditch,канава,feminine
1990,suspicion,подозрение,neuter
1991,tide,прилив,masculine
1992,tournament,турнир,masculine
1993,rainbow,радуга,feminine
1994,orbit,орбита,feminine
1995,corps,корпус,masculine
1996,platform,платформа,feminine
1997,cloth,ткань,feminine
1998,shotgun,дробовик,masculine
1999,fur,мех,masculine
2000,gin,джин,masculine
